go,z1,z2,z3,z4,t,p,nparts,sum_scores_1,sum_scores_2,sum_scores_3,sum_scores_4,m_score,wishart_p
GO:0032401,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0032402,0.628200459153951,2.5343643849811923,-0.1832857819427699,-0.10969106427247527,6.863264460185936,,3,2,4,0,0,25.94937624503281,21.005928292939533
GO:0032411,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0032412,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,-0.22335436808893955,1.7603433073022983,,1,0,0,0,1,0,5515
GO:0032414,-0.5345966714184823,-0.6835238869580222,0.41637068928570714,-1.0573557893679402,2.044364321340079,,1,0,0,1,0,0,5515
GO:0032426,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0032434,-0.3971103551059272,0.24226010929991798,0.09260340204496048,-1.5325514585690017,2.5736759579226383,,4,1,2,2,0,7.297524629553841,3844.450452752445
GO:0032435,0.628200459153951,0.01494565774860665,0.6386316668671467,-0.8191361434811772,1.4736936170494996,,3,2,1,2,0,17.368740200854432,367.2582488183754
GO:0032436,-1.7288526154067816,-1.51690122569686,1.4691083195228223,-2.249728552448758,12.509478508513858,429.5082922572731,19,2,4,16,5,56.979464797955025,0.000074166836968912
GO:0032437,-0.7564187111277173,-0.9671408095862676,2.562782665955226,-0.5844913262662514,8.417015715512356,,2,0,0,4,0,0.0013912189646297255,5515
GO:0032438,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0032447,-0.5345966714184823,-0.6835238869580222,0.41637068928570714,-1.0573557893679402,2.044364321340079,,1,0,0,1,0,0,5515
GO:0032454,-0.5345966714184823,-0.6835238869580222,1.8112390170069723,2.543451908753441,10.502732894003834,,1,0,0,2,2,0,5515
GO:0032456,0.628200459153951,2.5343643849811923,-0.1832857819427699,-0.10969106427247527,6.863264460185936,,3,2,4,0,0,25.94937624503281,21.005928292939533
GO:0032461,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0032465,-1.3128321604190076,-1.0838163849646938,0.6381726659808702,2.3233165601875574,8.70325042819525,3290.352079996401,6,0,1,5,8,36.41888721350967,0.3932309089699396
GO:0032467,-1.070828612733914,0.08619043232803622,-0.10642853210043085,-1.1829579105035841,2.564819158942591,,4,0,2,2,1,10.841797595124724,2040.4155859551486
GO:0032468,-0.7564187111277173,-0.9671408095862676,0.5891368146853098,-1.496088071919627,4.092892317469038,,2,0,0,2,0,0.0013912189646297255,5515
