go,z,t,p,nparts,nhits
GO:0008331,-0.8638686263854843,0.7462690036531433,0.3965799240981742,24,1
GO:0008332,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008333,-0.5211149802907526,0.2715608226834316,0.6050236342132596,43,3
GO:0008334,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0008336,3.1266328314641285,9.775832862789398,,1,1
GO:0008340,2.4575326430997397,6.039466691900793,0.019782910215690477,32,7
GO:0008343,0.07848627606371505,0.00616009553034969,0.939158569073999,10,1
GO:0008344,-0.18200852222403738,0.03312710216217791,0.8563757490781264,47,4
GO:0008347,3.636551306106913,13.224505401947892,0.006621928239368802,9,4
GO:0008349,-0.7152430383487386,0.5115726039063353,0.5139873195200801,5,0
GO:0008352,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0008353,2.25873677446246,5.101891816309077,0.05028029322164435,10,3
GO:0008354,0.3139432167601602,0.09856034334971694,0.7627132480967307,8,1
GO:0008355,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008356,2.0308661763652482,4.124417426304404,0.09800290610048248,6,2
GO:0008360,0.7107142667416447,0.5051147689501139,0.47858529633139624,126,14
GO:0008361,0.11102546376043505,0.012326653603219679,0.9127605964495448,20,2
GO:0008366,-0.7835300265070486,0.6139193024381364,0.46878731672782725,6,0
GO:0008373,-0.4178793795215447,0.17462317582931122,0.6819558466140354,16,1
GO:0008374,-0.959699840522511,0.9210237838989329,0.3653094155484776,9,0
GO:0008375,1.0805646821283077,1.1676200322630508,0.29498259999391574,18,3
GO:0008376,3.0622079608166284,9.377117595288736,0.022162190081439253,7,3
GO:0008378,-0.959699840522511,0.9210237838989329,0.3653094155484776,9,0
GO:0008379,-0.7152430383487386,0.5115726039063353,0.5139873195200801,5,0
GO:0008380,5.817595799837375,33.84442089028548,0.000000028727717841146657,172,38
GO:0008381,0.7588199642466865,0.5758077381393426,0.4626052081636097,13,2
GO:0008384,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008385,-0.8463313363113086,0.7162767308224856,0.4298235810047297,7,0
GO:0008386,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008387,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008389,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008390,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008391,1.4359263503022568,2.061884483492359,0.2875270489439952,3,1
GO:0008392,-1.2391620697696692,1.5355226351558504,0.23565814601135748,15,0
GO:0008395,-1.1082530756127662,1.2282248796051558,0.2913961653449829,12,0
GO:0008396,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008397,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008398,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008401,-1.0116389731356576,1.0234134119669678,0.3381337178382363,10,0
GO:0008403,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008404,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
